ID,Holding
0x0000007e2c32be0af585798089e7a94968c9d6a3,30000000000000000000
0x00000fb74b84e5f9783666cab35e0d4f2d68a9af,130161543531
0x00077d15c8e77a4bae63ce559495cc5758dc79fe,295917330441269490101
0x001ff038931c031b7cad1cf521ed58b1ffccfec0,10948668184555849266
0x00213221fa458f995d2131127369694494f49b79,1
0x002a6b6a1348b33d03ab66fcb64937b8cbf2aa7c,2183257497175209237694
0x0031063bc6bd13b50fb45d9360c7a094108318c3,94894923138847116
0x00347027ef8e4fd67a3a21652a529cbed557f171,44544754156594058444
0x00419d32ff2f7fd3b70274555dbc6928b94e577c,1277353511039732788460
0x007f77b222086052e8aebca83f969b012884e49d,5000000000000000000
0x00a7949aa0f80c274ef6048f6aa3eb35ebc65f48,20075
0x00bba8b70581c0181e90a4e84372be6f2943c32c,5000000000000000000
0x00c6b32b8bcf7eefe1940e268a1eeff0c49802a6,3599155860791078965
0x00ca2997a45542b55c83739678132fad5be0f7a4,10000000000000000000
0x00cd0c1f72a7b2a0ff028259aad7c235e67c27ae,294659836938308927
0x00e4b16cb8472d6f61f555de7231879054d88b4b,12172
0x00e6220f0054a73c43a2d5b9bd2357d63c6e27f9,14123300001235
0x0132b2c97a7ad3db5eef450bb95db35fd5688c2d,2000000000000000000
0x013cf95818da12d008ce1acb36ccc1c396988be4,1117481962131978006321
0x0152f83a76ddaa6a4d6fd2c7af742aae67f8b7d9,28889387974677398910
0x0161e9516445f48e26c7198f451e24c0672f47a5,100000000000000000000
0x016c0b44cec4720c5def537c628eeb30d8a31e3d,5058429168192849635
0x016c4144218599d3abd56f3c202a654105bb2778,30223601000000000000
0x018382a6b77f6fe16f44c319bbac7a703c2efe19,81587689405
0x01aace9e7705022c7c4f0bcca4cb981c04c7e929,100000000000000000000
0x020ade5124fee4fa1f0e46eafbe3ecb76939e2db,43420209132224369241
0x02260954fa45623000d1f4f0d899c6f0f50a6d7b,5000000000000000000
0x022babeb1f9a0c9c7a86d703410e86256fab2302,4000000000000000000
0x024fb34dbb8d273c4289a140a438161eba535c22,879953607915
0x026657125481828f38d1b5ae542cb19e9c04a157,9992000000000000000
0x027943f870442fe48f51a5e29d215f181b5f9e7d,26000000000000000000
0x0283377591e5da7e61ef3c1c27409f1717742976,10563615413771
0x02aefd6d3fba8ae3faa849433f36052bae0ed22c,100000000000000000000
0x02b695bdddf71837d4c8d35076e2c8580d8b9725,100000000000000000000
